fact_id,fact_role,domain,comparison,estimand,statistic,unit,n_bwh,n_bwk,estimate_bwh,estimate_bwk,effect_bwh_minus_bwk,effect_scale,ci95_low,ci95_high,fdr_q,support_class,sensitivity_summary,display_precision_policy,baseline_id
F04-PRIMARY-21,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2071_2099_pr_patch_median_difference,median_difference,mm day-1,1822,742,0.0,0.08163538,-0.08163538,BWh - BWk,-0.10318710706591273,-0.04933631672899228,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-22,primary_inferential,futurepop,BWh_background_minus_BWk_background,pop_ssp2_2050_patch_median_difference,patch_median_difference,persons,1822,742,1002.6502716137178,115.02852098681775,887.6217506269,BWh-BWk persons,440.55576642561266,1452.9793311239964,0.0029985007496251873,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | descriptive group-median log-ratio direction_agrees=True; no pseudocount,display persons as rounded values; raw precision retained in candidate source,analysis_release_3437
F04-PRIMARY-23,primary_inferential,futurepop,BWh_background_minus_BWk_background,pop_ssp2_2080_patch_median_difference,patch_median_difference,persons,1822,742,1153.7931960394726,101.7523997330527,1052.04079630642,BWh-BWk persons,575.1871527616402,1664.8946249398073,0.001999000499750125,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | descriptive group-median log-ratio direction_agrees=True; no pseudocount,display persons as rounded values; raw precision retained in candidate source,analysis_release_3437
F04-PRIMARY-24,primary_inferential,futurepop,BWh_background_minus_BWk_background,pop_ssp5_2050_patch_median_difference,patch_median_difference,persons,1822,742,954.3277130206004,124.41407945365512,829.9136335669452,BWh-BWk persons,385.37025845042314,1324.8128815048674,0.002665333999666833,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | descriptive group-median log-ratio direction_agrees=True; no pseudocount,display persons as rounded values; raw precision retained in candidate source,analysis_release_3437
F04-PRIMARY-25,primary_inferential,futurepop,BWh_background_minus_BWk_background,pop_ssp5_2080_patch_median_difference,patch_median_difference,persons,1822,742,973.6643371147655,105.0005587049248,868.6637784098407,BWh-BWk persons,409.11527849755254,1332.6000644599308,0.001999000499750125,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | descriptive group-median log-ratio direction_agrees=True; no pseudocount,display persons as rounded values; raw precision retained in candidate source,analysis_release_3437
F04-PRIMARY-26,primary_inferential,economic_nightlights,BWh_background_minus_BWk_background,gdp_total_patch_median_log_ratio,median_log_ratio,PPP USD (2017 international dollars),1822,742,968093.5892371716,490504.09704566654,0.6798951339343587,log(BWh/BWk),0.023755806091938992,1.3046324073024798,0.057304680992836914,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=False | key alternative: raw-scale patch-median difference direction_agrees=True,display ratio or percent contrast with sufficient precision; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-27,primary_inferential,economic_nightlights,BWh_background_minus_BWk_background,gdp_per_capita_patch_median_log_ratio,median_log_ratio,PPP USD (2017 international dollars per person),1822,742,9874.0,13966.0,-0.34672076458717244,log(BWh/BWk),-0.6951778515665865,0.06950049340732167,0.13893053473263367,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternative: raw-scale patch-median difference direction_agrees=True,display ratio or percent contrast with sufficient precision; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-28,primary_inferential,economic_nightlights,BWh_background_minus_BWk_background,viirs_mean_radiance_patch_median_log_ratio,median_log_ratio,nW cm-2 sr-1,1822,742,0.565249102499653,0.123507580509649,1.5209639885339445,log(BWh/BWk),0.6347228522022687,2.3431996600732523,0.00399800099950025,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternative: raw-scale patch-median difference direction_agrees=True,display ratio or percent contrast with sufficient precision; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-29,primary_inferential,economic_nightlights,BWh_background_minus_BWk_background,viirs_lit_area_fraction_patch_median_log_ratio,median_log_ratio,share,1822,742,0.4377242587159984,0.1655278143474799,0.9724499225997223,log(BWh/BWk),0.36960921207108355,1.5870207274913066,0.00399800099950025,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternative: raw-scale patch-median difference direction_agrees=True,display ratio or percent contrast with sufficient precision; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-30,primary_inferential,water,BWh_background_minus_BWk_background,et0_area_weighted_mean_difference,area_weighted_mean_difference,mm yr-1,1822,742,2137.9134939942946,1331.1241687810932,806.7893252132014,BWh - BWk mm yr-1,662.6767808518484,986.1153626440889,0.002498750624687656,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places; raw precision retained in candidate source,analysis_release_3437
F04-PRIMARY-31,primary_inferential,water,BWh_background_minus_BWk_background,et0sd_area_weighted_mean_difference,area_weighted_mean_difference,mm yr-1,1822,742,70.95170662070174,71.74758220844916,-0.7958755877474175,BWh - BWk mm yr-1,-15.358369538830837,13.799435493099253,0.8485757121439279,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=False; remove_top1pct_largest_area direction_agrees=False,display at up to 2 decimal places; raw precision retained in candidate source,analysis_release_3437
