OasisID,continent,exact_background_class,background_class,polygon_area_km2
ASCN11081,Asia,BWk_background,BWk oases,2.492305
ASCN12206,Asia,BWk_background,BWk oases,1.761873
ASCN12049,Asia,BWk_background,BWk oases,39.387821
ASCN12116,Asia,BWk_background,BWk oases,6.82776
ASCN12172,Asia,BWk_background,BWk oases,2.69512
ASCN12025,Asia,BWk_background,BWk oases,154.199355
ASCN11030,Asia,BWk_background,BWk oases,35.57847
ASCN11035,Asia,non_BWh_BWk_background,non-BW oases,24.635259
ASCN11063,Asia,BWk_background,BWk oases,4.710206
ASCN11073,Asia,BWk_background,BWk oases,3.005852
ASCN11036,Asia,BWk_background,BWk oases,22.4691
ASCN11084,Asia,BWk_background,BWk oases,2.261528
ASCN11021,Asia,BWk_background,BWk oases,182.223457
ASCN11031,Asia,non_BWh_BWk_background,non-BW oases,33.408147
ASCN11050,Asia,BWk_background,BWk oases,7.692745
ASCN11022,Asia,BWk_background,BWk oases,147.809722
ASCN11033,Asia,BWk_background,BWk oases,26.423429
ASCN11025,Asia,BWk_background,BWk oases,79.232209
ASCN11046,Asia,non_BWh_BWk_background,non-BW oases,8.951095
ASCN11085,Asia,non_BWh_BWk_background,non-BW oases,2.229713
ASCN11091,Asia,non_BWh_BWk_background,non-BW oases,1.700067
ASCN11037,Asia,non_BWh_BWk_background,non-BW oases,19.029909
ASCN11074,Asia,non_BWh_BWk_background,non-BW oases,2.871146
ASCN11051,Asia,non_BWh_BWk_background,non-BW oases,7.039168
ASCN11047,Asia,non_BWh_BWk_background,non-BW oases,8.445457
ASCN11079,Asia,non_BWh_BWk_background,non-BW oases,2.693071
ASCN11055,Asia,non_BWh_BWk_background,non-BW oases,6.281036
ASCN11048,Asia,BWk_background,BWk oases,8.298178
ASCN11070,Asia,non_BWh_BWk_background,non-BW oases,3.594073
ASCN11101,Asia,BWk_background,BWk oases,1.253305
ASCN11060,Asia,non_BWh_BWk_background,non-BW oases,5.268729
ASCN11042,Asia,non_BWh_BWk_background,non-BW oases,12.899926
