OasisID,continent,exact_background_class,background_class,polygon_area_km2,representative_longitude_deg_e,representative_latitude_deg_n
NAUS18107,North America,non_BWh_BWk_background,non-BW oases,1.051874,-116.386621725,43.1113734249
NAUS18032,North America,non_BWh_BWk_background,non-BW oases,36.551278,-115.435503396,43.0592604561
NAUS18082,North America,non_BWh_BWk_background,non-BW oases,2.765002,-117.292719856,43.1063141236
NAUS18094,North America,non_BWh_BWk_background,non-BW oases,1.529814,-116.43892328,43.1549085624
NAUS18090,North America,non_BWh_BWk_background,non-BW oases,2.384805,-116.375487067,43.1578018357
NAUS18061,North America,non_BWh_BWk_background,non-BW oases,7.401393,-114.309735139,43.1556082815
NAUS18042,North America,non_BWh_BWk_background,non-BW oases,21.57185,-116.468883849,43.1758491827
NAUS18068,North America,non_BWh_BWk_background,non-BW oases,5.933561,-118.050499198,43.1913543397
NAUS18074,North America,non_BWh_BWk_background,non-BW oases,4.080121,-118.307833541,43.1915617817
NAUS18069,North America,non_BWh_BWk_background,non-BW oases,5.546517,-116.532920033,43.2120835096
NAUS18055,North America,non_BWh_BWk_background,non-BW oases,10.196307,-120.003289991,43.2272810322
NAUS18063,North America,non_BWh_BWk_background,non-BW oases,6.765365,-118.460656929,43.2290504325
NAUS18052,North America,non_BWh_BWk_background,non-BW oases,11.254604,-116.436701981,43.2294962272
NAUS18083,North America,non_BWh_BWk_background,non-BW oases,2.583551,-116.490208485,43.2719479453
NAUS18020,North America,non_BWh_BWk_background,non-BW oases,88.934874,-115.941357602,43.2537208602
NAUS18011,North America,non_BWh_BWk_background,non-BW oases,334.845677,-114.854891111,43.3177063274
NAUS18006,North America,non_BWh_BWk_background,non-BW oases,919.808923,-120.794160013,43.262190927
NAUS18058,North America,non_BWh_BWk_background,non-BW oases,8.633881,-118.224634089,43.4559406288
NAUS18046,North America,non_BWh_BWk_background,non-BW oases,14.016097,-117.991692317,43.5277153669
NAUS18106,North America,non_BWh_BWk_background,non-BW oases,1.054456,-117.09255357,43.5540332577
NAUS18012,North America,non_BWh_BWk_background,non-BW oases,323.166203,-114.135993313,43.3613647885
NAUS18004,North America,non_BWh_BWk_background,non-BW oases,1973.465321,-118.898910472,43.3879070352
NAUS18081,North America,non_BWh_BWk_background,non-BW oases,2.782479,-118.424750568,43.6661242207
NAUS18036,North America,non_BWh_BWk_background,non-BW oases,28.337756,-120.27500075,43.6891450451
NAUS18065,North America,non_BWh_BWk_background,non-BW oases,6.598007,-120.346045089,43.7537355391
NAUS18072,North America,non_BWh_BWk_background,non-BW oases,4.764754,-118.465261,43.7524649844
NAUS18051,North America,non_BWh_BWk_background,non-BW oases,11.450739,-118.093813432,43.755369801
NAUS18099,North America,non_BWh_BWk_background,non-BW oases,1.373775,-116.820653113,43.8278143838
NAUS18035,North America,non_BWh_BWk_background,non-BW oases,29.054278,-120.050534137,43.7946682433
NAUS18104,North America,non_BWh_BWk_background,non-BW oases,1.10397,-112.176502045,43.8668586519
NAUS18017,North America,non_BWh_BWk_background,non-BW oases,116.87138,-112.979745718,43.8123787684
NAUS18029,North America,non_BWh_BWk_background,non-BW oases,39.669093,-117.579221021,43.8724691816
NAUS18059,North America,non_BWh_BWk_background,non-BW oases,8.54128,-116.194342889,43.9125622142
NAUS18025,North America,non_BWh_BWk_background,non-BW oases,59.248391,-118.471906964,43.8539168364
NAUS18070,North America,non_BWh_BWk_background,non-BW oases,5.206254,-116.185534998,43.9773200357
NAUS18033,North America,non_BWh_BWk_background,non-BW oases,33.525687,-116.320490266,43.9460095602
NAUS18044,North America,non_BWh_BWk_background,non-BW oases,16.262516,-117.686016308,43.9868088861
NAUS18040,North America,non_BWh_BWk_background,non-BW oases,24.403519,-120.13437742,44.1133779487
NAUS18010,North America,non_BWh_BWk_background,non-BW oases,517.537185,-113.537219902,43.8283878435
NAUS18103,North America,non_BWh_BWk_background,non-BW oases,1.193248,-112.357110331,44.261097687
NAUS18087,North America,non_BWh_BWk_background,non-BW oases,2.415168,-117.724906761,44.2775868449
NAUS18066,North America,non_BWh_BWk_background,non-BW oases,6.410938,-117.780141527,44.2786895223
NAUS18007,North America,non_BWh_BWk_background,non-BW oases,906.972755,-112.376407763,43.9723759838
NAUS18067,North America,non_BWh_BWk_background,non-BW oases,5.948063,-116.774175678,44.2997514644
NAUS18003,North America,non_BWh_BWk_background,non-BW oases,4394.508102,-116.762007115,43.7538519768
NAUS18037,North America,non_BWh_BWk_background,non-BW oases,27.714566,-117.929687871,44.3365533505
NAUS18015,North America,non_BWh_BWk_background,non-BW oases,176.564794,-116.616149781,44.5384747647
NAUS18005,North America,non_BWh_BWk_background,non-BW oases,1251.140261,-121.135714675,44.3372571266
NAUS18026,North America,non_BWh_BWk_background,non-BW oases,54.130625,-117.191677712,44.7736197118
NAUS18022,North America,non_BWh_BWk_background,non-BW oases,70.628816,-117.562862064,44.861860197
NAUS18021,North America,non_BWh_BWk_background,non-BW oases,80.715453,-117.100533551,44.8921039805
NAUS18001,North America,BWk_background,BWk oases,15876.969932,-119.303104667,46.6271884659
NAUS18009,North America,non_BWh_BWk_background,non-BW oases,546.29624,-120.499655391,47.0065150247
NAUS19104,North America,non_BWh_BWk_background,non-BW oases,3.327216,-108.750585274,35.8522271464
NAUS19061,North America,BWk_background,BWk oases,16.801026,-111.239279259,36.1205183043
NAUS19056,North America,BWk_background,BWk oases,18.247333,-109.57389656,36.1678084713
NAUS19088,North America,BWk_background,BWk oases,6.417171,-109.616148418,36.3680727971
NAUS19120,North America,non_BWh_BWk_background,non-BW oases,1.227631,-108.097786684,36.4208928639
NAUS19078,North America,non_BWh_BWk_background,non-BW oases,8.37117,-108.110924302,36.4588367295
NAUS19117,North America,non_BWh_BWk_background,non-BW oases,2.117585,-108.120478644,36.5099462977
NAUS19089,North America,BWk_background,BWk oases,5.969142,-108.520509887,36.5160031322
NAUS19098,North America,BWk_background,BWk oases,4.231996,-108.476574109,36.5719951677
NAUS19115,North America,non_BWh_BWk_background,non-BW oases,2.190759,-111.089555184,36.5824667957
NAUS19100,North America,non_BWh_BWk_background,non-BW oases,3.970471,-108.430437883,36.5874778924
NAUS19031,North America,non_BWh_BWk_background,non-BW oases,111.557332,-108.064080924,36.5778535292
