baseline_id,OasisID,continent,exact_background_class,background_class,polygon_area_km2,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,futurepop_analysis_method,futurepop_analysis_valid
analysis_release_3437,ASCN12047,Asia,non_BWh_BWk_background,non-BW oases,43.377096,1009.982416339329,660.536165418926,1022.383136125503,685.5943941462588,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12174,Asia,BWk_background,BWk oases,2.636285,8.44824259899719,6.160715767431629,8.51601976786116,6.348318227766391,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12192,Asia,BWk_background,BWk oases,2.09143,12.89644100781744,0.0,14.32578013138287,0.0,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12131,Asia,BWk_background,BWk oases,5.118093,7.59539142798404,2.316834485941904,7.834298596954156,2.629568874868649,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12253,Asia,BWk_background,BWk oases,1.078081,0.5683950185775757,0.4820739924907684,0.5702670216560364,0.4902940094470978,nearest_valid_grid,True
analysis_release_3437,ASCN12207,Asia,BWk_background,BWk oases,1.703446,4.402985432626426,1.665736726446198,4.572256619799694,1.790249844070399,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12196,Asia,BWk_background,BWk oases,1.924712,395.8077091186509,258.0837302455081,400.8569387172981,267.2248948582769,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12083,Asia,BWk_background,BWk oases,13.233166,413.9946211709269,245.9621322039943,421.3086524113156,255.807078120397,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12142,Asia,BWk_background,BWk oases,4.306806,963.436424389424,753.3696384091708,969.3129720785796,771.1780635537432,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12127,Asia,BWk_background,BWk oases,5.647455,77.03050940740533,37.80754721096221,78.94021822631322,40.08033267794323,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12198,Asia,BWk_background,BWk oases,1.885306,0.4145621665639076,0.1947603767750479,0.4306302812169864,0.2004191070135269,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12072,Asia,BWk_background,BWk oases,18.189587,92.59577101984506,46.07636963469916,94.4413869290038,49.20253804861296,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12013,Asia,BWk_background,BWk oases,953.693121,6497.266810714783,4386.425834388843,6579.815266905672,4535.213018326003,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12176,Asia,BWk_background,BWk oases,2.603221,1.536347985267639,1.292685985565186,1.541821956634522,1.315581083297729,nearest_valid_grid,True
analysis_release_3437,ASCN12146,Asia,BWk_background,BWk oases,4.15335,13.70862579345703,11.57736682891846,13.75575923919678,11.77886390686035,nearest_valid_grid,True
analysis_release_3437,ASCN12039,Asia,non_BWh_BWk_background,non-BW oases,54.628152,3.345756053924561,2.664784908294678,3.363653898239136,2.724430084228516,nearest_valid_grid,True
analysis_release_3437,ASCN12034,Asia,non_BWh_BWk_background,non-BW oases,67.274669,484.8808254913249,316.3062028906252,490.5162646379421,328.7177579369946,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12087,Asia,BWk_background,BWk oases,10.787205,0.1455689966678619,0.1148519963026046,0.1463930010795593,0.1175220012664794,nearest_valid_grid,True
analysis_release_3437,ASCN12220,Asia,BWk_background,BWk oases,1.375054,2.951868376785751,1.784292153516774,2.990947397173426,1.870876204176034,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12209,Asia,BWk_background,BWk oases,1.658639,0.5617280006408691,0.4701089859008789,0.5638269782066345,0.4786399900913238,nearest_valid_grid,True
analysis_release_3437,ASCN12159,Asia,BWk_background,BWk oases,3.353107,0.5617280006408691,0.4701089859008789,0.5638269782066345,0.4786399900913238,nearest_valid_grid,True
analysis_release_3437,ASCN12090,Asia,BWk_background,BWk oases,10.610342,1.356781035661697,1.151941001415253,1.361202985048294,1.171487987041473,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12246,Asia,BWk_background,BWk oases,1.126861,0.058967001736164,0.0440629981458187,0.0593970008194446,0.045304000377655,nearest_valid_grid,True
analysis_release_3437,ASCN12228,Asia,BWk_background,BWk oases,1.313971,0.0098235916640055,0.0073406632274282,0.0098952272446807,0.0075474076577153,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12248,Asia,BWk_background,BWk oases,1.106048,0.2069964015653806,0.1710944756504688,0.2078575802642723,0.1743795210190752,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12165,Asia,BWk_background,BWk oases,3.21431,1.429414987564087,1.176306962966919,1.435557007789612,1.199327945709228,nearest_valid_grid,True
analysis_release_3437,ASCN12190,Asia,BWk_background,BWk oases,2.125989,42.27943801879883,34.36677932739258,42.47805786132812,35.0754508972168,nearest_valid_grid,True
analysis_release_3437,ASCN12016,Asia,BWk_background,BWk oases,307.667004,41639.13635614786,30563.92800132318,42049.05339245978,31343.2544814926,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12183,Asia,BWk_background,BWk oases,2.222459,0.0562710660913296,0.0135392751238985,0.0695162752980611,0.0144785348065115,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12186,Asia,BWk_background,BWk oases,2.187535,1.16215754093153,0.0,1.311294662191834,0.0,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12018,Asia,BWk_background,BWk oases,261.234701,34980.88167674076,27484.2560629514,35198.42762590143,28101.10846465324,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12062,Asia,BWk_background,BWk oases,25.509238,4.436726267601028,3.070934550969672,4.482136430503495,3.178493941407842,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12194,Asia,non_BWh_BWk_background,non-BW oases,2.080505,12.26822065630266,7.728488441947182,12.47312372057068,8.036601819880559,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12250,Asia,BWk_background,BWk oases,1.095025,0.1901059690375959,0.0950533014838015,0.1940748736544577,0.101788283178088,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12191,Asia,BWk_background,BWk oases,2.09582,10.24391279157751,3.386500304874383,10.78101940639452,3.692718503371689,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12113,Asia,BWk_background,BWk oases,7.062131,3.182699532561641,0.3937193827598211,3.348331937817744,0.465497646471821,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12071,Asia,BWk_background,BWk oases,18.634194,455.8983668999173,223.3291505027449,467.4321122092891,237.6505591100929,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12141,Asia,BWk_background,BWk oases,4.315409,39.20066440727983,7.412990306634661,42.2719070183086,8.189712689399073,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12224,Asia,BWk_background,BWk oases,1.352037,0.502170979976654,0.0323490016162395,0.5585560202598572,0.0395400002598762,nearest_valid_grid,True
