OasisID,continent,exact_background_class,background_class,polygon_area_km2,ghsl_population_2020_persons,ghsl_population_density_persons_per_km2,ghsl_built_up_area_2020_km2,ghsl_built_up_area_fraction
ASCN12254,Asia,BWk_background,BWk oases,1.071155,0.0,0.0,0.0,0.0
ASCN12108,Asia,BWk_background,BWk oases,8.167777,272.616597,33.37708620105569,0.001817,0.0002224595504994
ASCN12140,Asia,BWk_background,BWk oases,4.434296,657.25429,148.2206623103194,0.004383,0.0009884319855959
ASCN12184,Asia,BWk_background,BWk oases,2.199727,0.0,0.0,0.0,0.0
ASCN12100,Asia,BWk_background,BWk oases,8.727671,1613.059876,184.8213430593339,0.004308,0.0004936024742454
ASCN12093,Asia,BWk_background,BWk oases,9.735007,3214.447175,330.1946444414472,0.008583,0.0008816634646487
ASCN12056,Asia,BWk_background,BWk oases,28.358268,6275.096472,221.2792569701365,0.125195,0.0044147618606326
ASCN12199,Asia,BWk_background,BWk oases,1.869399,64.829104,34.67911558741606,0.001292,0.0006911312138286
ASCN12089,Asia,BWk_background,BWk oases,10.712412,0.0,0.0,0.0,0.0
ASCN12084,Asia,BWk_background,BWk oases,12.029854,0.0,0.0,0.0,0.0
ASCN12022,Asia,BWk_background,BWk oases,180.410769,723.989252,4.013004633886351,0.020433,0.0001132582057781
ASCN12154,Asia,BWk_background,BWk oases,3.636436,4.384062,1.205593058698132,0.00039,0.0001072478657674
ASCN12030,Asia,BWk_background,BWk oases,82.330395,2615.150025,31.76408937428273,0.027133,0.0003295623687946
ASCN12088,Asia,BWk_background,BWk oases,10.762371,0.0,0.0,0.004569,0.0004245347052243
ASCN12066,Asia,BWk_background,BWk oases,21.200798,316.430279,14.92539474221678,0.017381,0.0008198276310165
ASCN12079,Asia,BWk_background,BWk oases,14.601358,35.655243,2.441912800165574,0.001959,0.0001341656029528
ASCN12195,Asia,BWk_background,BWk oases,2.025368,0.0,0.0,0.0,0.0
ASCN12057,Asia,BWk_background,BWk oases,28.318563,1274.614109,45.00984421419971,0.040446,0.0014282504377075
ASCN12157,Asia,BWk_background,BWk oases,3.593125,0.0,0.0,0.0,0.0
ASCN13001,Asia,BWk_background,BWk oases,962.404425,120.056669,0.1247465887326941,0.002017,2.095792525060346e-06
ASCN12027,Asia,BWk_background,BWk oases,120.309604,264.114963,2.195294093063427,0.004729,3.930692016906647e-05
ASCN15013,Asia,BWk_background,BWk oases,148.236391,0.0,0.0,0.0,0.0
ASCN15002,Asia,BWk_background,BWk oases,1487.903348,31485.565543,21.16102876260213,1.566971,0.0010531403145952
ASCN15015,Asia,BWk_background,BWk oases,84.449014,0.0,0.0,0.0,0.0
ASCN15009,Asia,BWk_background,BWk oases,196.158897,0.0,0.0,0.0,0.0
ASCN12121,Asia,BWk_background,BWk oases,6.157369,825.187664,134.0162761075388,0.036171,0.0058744246122004
ASCN12099,Asia,BWk_background,BWk oases,8.830151,82.082671,9.29572676616742,0.003597,0.0004073543023216
ASCN12214,Asia,BWk_background,BWk oases,1.527092,0.0,0.0,0.0,0.0
ASCN12218,Asia,BWk_background,BWk oases,1.39894,0.0,0.0,0.0,0.0
ASCN12177,Asia,BWk_background,BWk oases,2.589863,0.0,0.0,0.0,0.0
ASCN12029,Asia,BWk_background,BWk oases,90.845283,1218.034482,13.40779005553871,0.110132,0.0012123028996453
ASCN12210,Asia,BWk_background,BWk oases,1.636911,1369.76473,836.7985370004845,0.008549,0.0052226419151682
ASCN12163,Asia,BWk_background,BWk oases,3.26237,724.146691,221.9695163332179,0.031747,0.0097312689854308
ASCN12032,Asia,BWk_background,BWk oases,74.731375,124.445649,1.665239653358446,0.007566,0.0001012426173076
ASCN12038,Asia,BWk_background,BWk oases,58.399149,260.067589,4.453277033197864,0.015807,0.0002706717524257
ASCN12112,Asia,BWk_background,BWk oases,7.147633,123.335546,17.25543910830341,0.002208,0.0003089134542861
ASCN12148,Asia,BWk_background,BWk oases,4.010559,0.0,0.0,0.0,0.0
ASCN12171,Asia,BWk_background,BWk oases,2.709145,0.0,0.0,0.0,0.0
ASCN12052,Asia,BWk_background,BWk oases,35.182569,864.097807,24.56039543331813,0.007891,0.0002242872031317
ASCN12162,Asia,BWk_background,BWk oases,3.27223,16.690698,5.100710524626937,0.022238,0.0067959770554025
ASCN12255,Asia,BWk_background,BWk oases,1.064974,0.677596,0.6362559085949515,0.000858,0.0008056534713523
ASCN12085,Asia,BWk_background,BWk oases,11.253027,141.020833,12.53181326233377,0.002813,0.0002499771839168
